	18800
many kinds	1
nonmonetary rewards	1
fame	1
appreciation	1
same interesting work	1
facts	1
reasons other	1
riches	1
organizations	1
neighbors	1
desperate	1
demand	1
defense	1
short run	1
businessmen	1
examples	1
manufacturer	1
new computer	1
sale	1
maintenance services	1
new ideas	1
satisfied users	1
related needs	1
users' groups	1
dues	1
programming companies	1
group's members	1
Software Tax	1
x percent	1
software tax	1
NSF	1
computer buyer	1
own choosing	1
total tax	1
total tax rate	1
vote	1
payers	1
computer-using community	1
level	1
step	1
postscarcity world	1
hours	1
week	1
required tasks such	1
family counseling	1
robot repair	1
asteroid	1
whole society	1
actual productivity	1
leisure	1
workers	1
much nonproductive activity	1
productive activity	1
main causes	1
bureaucracy	1
isometric struggles	1
drains	1
software production	1
technical gains	1
productivity	1
less work	1
careless	1
manifesto	1
important thing	1
indication	1
different meanings	1
statement	1
false	1
wrong idea	1
Several such companies	1
charity	1
computer companies	1
maintenance	1
GNU C Compiler	1
common business model	1
custom software	1
rents	1
real work	1
custom software business	1
1980s	1
confusing	1
subtle	1
various disparate laws	1
different issues	1
laws	1
coherent issue	1
copyrights	1
trademarks	1
further explanation	1
bias	1
means software	1
Free Documentation Join	1
mailing list	1
eBooks	1
Many	1
important programs	1
full manuals	1
Perl	1
Perl users	1
better introductory manuals	1
freedom-respecting	1
good manuals	1
restrictive terms	1
source files	1
first time	1
community's great loss	1
last	1
Proprietary manual publishers	1
great many authors	1
Many times	1
GNU user	1
hopes	1
contract	1
publisher	1
good English	1
rare skill	1
fine	1
free GNU manuals	1
Perl manuals	1
commercial redistribution	1
writings	1
new manual	1
blanket prohibition	1
practical matter	1
obstacle	1
gap	1
Other users	1
proprietary manuals acceptable	1
same reason	1
proprietary software acceptable	1
practical terms	1
opinions spring	1
value freedom	1
proprietary publishing	1
sufficient	1
next person	1
commercial publishers	1
proprietary ones	1
noncopylefted ones	1
Note	1
free books available	1
other publishers	1
exceptions	1
software licenses	1
Many people	1
misunderstanding	1
surprising	1
legitimate general meanings	1
study	1
Free programs	1
substantial price	1
same program	1
different places	1
Nonfree programs	1
store	1
Price	1
software free	1
substantial fee	1
legitimate activity	1
community project	1
free software development projects	1
extra	1
low	1
high distribution fee	1
range	1
Software hoarders	1
damnedest	1
standard price	1
network access	1
several users	1
high CD-ROM price	1
major obstacle	1
common concern	1
less effect	1
much free software	1
Many users	1
priority	1
direct way	1
needed free software	1
writing	1
best way	1
trading goods	1
way most companies	1
software proprietary	1
distinctions	1
other wording	1
High	1
low fees	1
special situation	1
penny	1
dollar	1
marketplace	1
corresponding complete source code	1
subsequent request	1
limit	1
large	1
truth	1
ordinary situations	1
such justification	1
distribution fees	1
side issues such	1
whole issue	1
only issue	1
